url,image,name,price
https://scrapingclub.com/exercise/list_basic_detail/90008-E/,https://scrapingclub.com/static/img/90008-E.jpg,Short Dress,$24.99
https://scrapingclub.com/exercise/list_basic_detail/96436-A/,https://scrapingclub.com/static/img/96436-A.jpg,Patterned Slacks,$29.99
https://scrapingclub.com/exercise/list_basic_detail/93926-B/,https://scrapingclub.com/static/img/93926-B.jpg,Short Chiffon Dress,$49.99
https://scrapingclub.com/exercise/list_basic_detail/90882-B/,https://scrapingclub.com/static/img/90882-B.jpg,Off-the-shoulder Dress,$59.99
https://scrapingclub.com/exercise/list_basic_detail/93756-C/,https://scrapingclub.com/static/img/93756-C.jpg,V-neck Top,$24.99
https://scrapingclub.com/exercise/list_basic_detail/93926-C/,https://scrapingclub.com/static/img/93926-C.jpg,Short Chiffon Dress,$49.99
https://scrapingclub.com/exercise/list_basic_detail/93756-B/,https://scrapingclub.com/static/img/93756-B.jpg,V-neck Top,$24.99
https://scrapingclub.com/exercise/list_basic_detail/93756-D/,https://scrapingclub.com/static/img/93756-D.jpg,V-neck Top,$24.99
https://scrapingclub.com/exercise/list_basic_detail/96643-A/,https://scrapingclub.com/static/img/96643-A.jpg,Short Lace Dress,$59.99
https://scrapingclub.com/exercise/list_basic_detail/94766-A/,https://scrapingclub.com/static/img/94766-A.jpg,Fitted Dress,$34.99
https://scrapingclub.com/exercise/list_basic_detail/91696-C/,https://scrapingclub.com/static/img/91696-C.jpg,V-neck Jumpsuit,$69.99
https://scrapingclub.com/exercise/list_basic_detail/93745-A/,https://scrapingclub.com/static/img/93745-A.jpg,Chiffon Dress,$54.99
https://scrapingclub.com/exercise/list_basic_detail/65763-E/,https://scrapingclub.com/static/img/65763-E.jpg,Skinny High Waist Jeans,$39.99
https://scrapingclub.com/exercise/list_basic_detail/70745-D/,https://scrapingclub.com/static/img/70745-D.jpg,Super Skinny High Jeans,$19.99
https://scrapingclub.com/exercise/list_basic_detail/94706-A/,https://scrapingclub.com/static/img/94706-A.jpg,Oversized Denim Jacket,$19.99
https://scrapingclub.com/exercise/list_basic_detail/96230-B/,https://scrapingclub.com/static/img/96230-B.jpg,Short Sweatshirt,$24.99
https://scrapingclub.com/exercise/list_basic_detail/73840-F/,https://scrapingclub.com/static/img/73840-F.jpg,Long-sleeved Jersey Top,$12.99
https://scrapingclub.com/exercise/list_basic_detail/65763-A/,https://scrapingclub.com/static/img/65763-A.jpg,Skinny High Waist Jeans,$39.99
